date,precip_mm,temp_avg_c,temp_max_c,temp_min_c
2022-02-22,5.8,5.6,13.3,2.2
2022-02-23,0.0,14.4,20.0,2.2
2022-02-24,0.0,1.1,2.2,-1.6
2022-02-25,20.8,0.8,6.1,-2.7
2022-02-26,0.0,-1.1,3.3,-4.3
2022-02-27,0.0,2.4,8.9,-1.0
2022-02-28,0.0,0.8,2.2,-2.7
2022-03-01,0.0,2.6,8.9,-0.5
2022-03-02,0.0,7.7,11.7,4.4
2022-03-03,0.8,5.6,8.9,-3.8
2022-03-04,0.0,-1.9,3.3,-5.5
2022-03-05,0.0,3.1,7.2,-0.5
2022-03-06,1.3,9.6,20.0,3.9
2022-03-07,1.3,18.2,23.3,10.0
2022-03-08,0.0,8.7,10.0,4.4
2022-03-09,14.7,3.2,5.0,0.6
2022-03-10,0.0,4.0,10.0,0.0
2022-03-11,0.0,7.2,11.7,2.2
2022-03-12,11.9,5.1,8.3,-3.8
2022-03-13,0.0,-2.3,1.7,-4.9
2022-03-14,0.0,5.3,13.9,1.1
2022-03-15,0.0,11.6,20.0,7.8
2022-03-16,0.0,13.6,17.8,6.1
2022-03-17,2.8,8.2,12.8,5.6
2022-03-18,0.0,13.9,22.8,9.4
2022-03-19,1.8,13.1,20.0,7.8
2022-03-20,0.0,14.3,16.1,7.8
2022-03-21,0.0,10.4,16.7,6.7
2022-03-22,0.0,10.7,13.9,6.7
2022-03-23,2.8,7.2,8.3,3.9
2022-03-24,25.9,5.7,8.3,3.9
2022-03-25,0.8,9.6,15.6,6.7
2022-03-26,1.0,10.4,11.7,6.1
2022-03-27,0.0,5.9,7.2,-1.0
2022-03-28,0.0,-1.5,0.0,-4.3
2022-03-29,0.0,-1.2,2.8,-3.8
2022-03-30,0.0,2.6,8.3,-1.0
2022-03-31,1.3,9.9,17.8,5.6
2022-04-01,6.6,13.1,16.1,6.1
2022-04-02,0.0,7.2,12.8,3.9
2022-04-03,2.3,7.0,7.8,5.0
2022-04-04,0.0,7.6,12.2,4.4
2022-04-05,1.5,9.7,12.8,6.7
2022-04-06,9.1,8.6,11.7,6.7
2022-04-07,24.6,9.1,13.3,7.8
2022-04-08,1.0,12.8,17.8,10.0
2022-04-09,0.5,11.4,13.3,8.9
2022-04-10,0.0,8.6,9.4,6.1
2022-04-11,0.0,8.8,15.6,5.6
2022-04-12,1.0,13.4,21.7,10.0
2022-04-13,0.0,15.4,20.6,10.0
2022-04-14,2.8,16.3,21.7,12.8
2022-04-15,0.0,15.7,20.6,10.6
2022-04-16,3.6,15.7,21.1,7.2
2022-04-17,0.0,8.3,10.0,5.6
2022-04-18,23.4,7.9,11.7,5.0
2022-04-19,29.0,7.6,10.0,4.4
2022-04-20,0.0,9.4,15.6,6.1
2022-04-21,0.0,10.6,15.0,7.2
2022-04-22,0.0,14.6,20.0,11.1
2022-04-23,0.0,13.3,16.1,10.0
2022-04-24,0.0,12.8,15.6,8.9
2022-04-25,0.0,10.4,14.4,7.8
2022-04-26,1.3,11.5,15.6,10.0
2022-04-27,0.0,11.6,15.0,5.6
2022-04-28,0.0,8.2,13.3,5.0
2022-04-29,0.0,10.4,16.7,5.6
2022-04-30,0.0,12.9,19.4,8.3
2022-05-01,0.0,13.6,19.4,8.9
2022-05-02,8.9,12.1,13.9,10.0
2022-05-03,0.0,12.4,16.1,10.0
2022-05-04,3.0,12.0,19.4,10.0
2022-05-05,0.0,17.2,21.7,13.3
2022-05-06,18.8,14.8,16.7,10.0
2022-05-07,26.9,10.0,11.1,7.8
2022-05-08,0.5,10.4,15.0,7.8
2022-05-09,0.0,13.5,20.6,8.3
2022-05-10,0.0,15.4,21.7,11.7
2022-05-11,0.0,16.1,24.4,11.7
2022-05-12,0.0,17.1,22.2,13.9
2022-05-13,0.0,16.0,18.9,13.3
2022-05-14,7.1,17.9,23.3,14.4
2022-05-15,0.5,18.8,25.6,15.0
2022-05-16,11.9,20.4,23.9,16.7
2022-05-17,0.0,19.7,25.6,15.0
2022-05-18,0.0,17.8,22.8,13.9
2022-05-19,18.3,15.5,20.0,12.8
2022-05-20,11.2,15.4,20.0,12.2
2022-05-21,0.0,21.2,32.8,14.4
2022-05-22,0.0,27.8,33.3,21.7
2022-05-23,0.0,21.0,22.8,16.7
2022-05-24,0.0,17.4,18.3,14.4
2022-05-25,0.0,16.2,21.1,12.8
2022-05-26,0.0,16.4,21.1,12.8
2022-05-27,4.1,20.2,26.1,17.8
2022-05-28,6.9,20.4,25.0,17.2
2022-05-29,0.0,20.7,26.1,16.7
2022-05-30,0.0,23.3,30.0,18.3
2022-05-31,0.0,28.3,33.9,17.2
2022-06-01,21.3,17.8,19.4,15.0
2022-06-02,13.2,20.3,28.3,16.7
2022-06-03,0.0,19.5,23.9,16.1
2022-06-04,0.0,21.9,27.2,17.2
2022-06-05,0.0,20.0,24.4,15.6
2022-06-06,0.0,22.2,27.2,17.8
2022-06-07,1.3,21.8,25.6,18.3
2022-06-08,0.0,23.7,29.4,19.4
2022-06-09,17.8,24.4,29.4,18.9
2022-06-10,0.0,21.8,26.7,17.8
2022-06-11,5.8,21.8,23.9,18.3
2022-06-12,2.0,20.5,22.8,17.8
2022-06-13,0.0,24.2,30.0,20.6
2022-06-14,0.0,23.9,28.3,19.4
2022-06-15,0.0,23.3,27.2,19.4
2022-06-16,7.1,20.3,22.8,17.2
2022-06-17,0.0,25.2,33.3,21.1
2022-06-18,0.0,21.7,25.0,15.0
2022-06-19,0.0,17.3,23.3,13.3
2022-06-20,0.0,20.5,26.1,16.1
2022-06-21,2.3,22.1,25.0,17.8
2022-06-22,2.5,19.1,20.0,16.7
2022-06-23,0.0,19.2,23.9,15.6
2022-06-24,0.0,21.9,28.3,17.8
2022-06-25,0.0,25.8,32.2,20.6
2022-06-26,0.0,27.0,32.8,21.7
2022-06-27,12.2,24.3,26.1,20.6
2022-06-28,0.0,22.4,26.1,20.0
2022-06-29,0.0,23.9,30.0,18.9
2022-06-30,0.0,25.4,31.1,21.7
2022-07-01,0.0,28.1,35.0,23.9
2022-07-02,0.0,28.7,32.8,25.0
2022-07-03,0.0,26.9,31.1,23.3
2022-07-04,0.0,25.6,30.6,20.0
2022-07-05,2.0,25.9,31.1,22.8
2022-07-06,0.0,26.0,30.0,22.8
2022-07-07,0.0,24.2,27.8,21.1
2022-07-08,7.4,23.5,30.0,20.0
2022-07-09,0.0,24.7,28.9,22.2
2022-07-10,0.0,23.4,27.8,20.0
2022-07-11,0.0,24.0,28.9,20.6
2022-07-12,0.0,25.8,32.8,21.7
2022-07-13,0.0,28.9,33.3,23.9
2022-07-14,0.0,26.6,32.2,22.2
2022-07-15,0.0,26.1,30.0,22.2
2022-07-16,14.0,24.3,28.9,20.6
2022-07-17,0.0,25.7,28.9,22.8
2022-07-18,8.6,26.2,31.1,22.8
2022-07-19,0.0,28.2,33.9,23.9
2022-07-20,0.0,31.3,36.1,26.7
2022-07-21,14.5,29.8,36.1,23.3
2022-07-22,0.0,30.9,35.6,26.1
2022-07-23,0.0,30.3,36.1,26.1
2022-07-24,0.0,31.1,36.7,27.8
2022-07-25,19.3,29.8,31.7,23.3
2022-07-26,0.0,25.9,27.8,22.2
2022-07-27,0.0,25.5,30.0,21.1
2022-07-28,2.0,26.7,31.1,23.9
2022-07-29,0.5,28.2,30.6,23.9
2022-07-30,0.0,26.7,31.1,23.3
2022-07-31,0.0,26.3,30.6,22.2
2022-08-01,10.4,23.1,26.1,20.0
2022-08-02,0.0,26.4,33.9,21.7
2022-08-03,0.0,27.6,33.3,23.3
2022-08-04,0.0,29.1,34.4,26.1
2022-08-05,0.0,29.3,34.4,26.7
2022-08-06,0.0,29.6,34.4,26.1
2022-08-07,15.5,29.6,33.9,25.0
2022-08-08,0.0,30.3,34.4,26.7
2022-08-09,1.3,31.3,36.7,26.7
2022-08-10,0.0,27.2,30.0,23.9
2022-08-11,3.3,26.6,32.8,23.3
2022-08-12,0.0,25.6,29.4,22.2
2022-08-13,0.0,23.1,26.7,18.9
2022-08-14,0.0,24.0,28.3,21.1
2022-08-15,0.0,24.3,28.3,21.7
2022-08-16,0.0,23.6,28.9,19.4
2022-08-17,7.9,23.6,27.8,20.0
2022-08-18,0.0,24.1,31.1,20.0
2022-08-19,0.0,26.3,32.2,22.8
2022-08-20,0.0,27.9,32.8,24.4
2022-08-21,0.0,25.3,28.3,22.8
2022-08-22,6.1,24.5,27.2,22.8
2022-08-23,0.0,25.9,31.1,22.8
2022-08-24,0.0,26.9,32.2,23.3
2022-08-25,0.0,28.1,32.8,23.9
2022-08-26,7.1,27.4,31.1,25.6
2022-08-27,0.0,27.8,31.1,23.9
2022-08-28,0.0,24.6,26.7,22.8
2022-08-29,0.0,26.0,30.6,23.9
2022-08-30,1.0,26.8,31.7,23.9
2022-08-31,0.0,25.6,29.4,22.2
2022-09-01,0.0,25.9,30.0,20.6
2022-09-02,0.0,21.7,25.6,17.2
2022-09-03,0.0,22.8,27.8,20.0
2022-09-04,0.0,25.3,31.7,22.8
2022-09-05,0.3,25.8,30.6,23.3
2022-09-06,29.5,23.3,24.4,20.0
2022-09-07,0.0,20.8,23.3,19.4
